Labs,https://docs.google.com/spreadsheets/d/12pUOKCb_Hujh8m7ndehZLuVlIfUaGblVx56BqYTdmkw/edit,?,v3.4.1,WS,https://docs.google.com/spreadsheets/d/1TfTfknEF_TivxBMDS9-J0NFa2Di1zG3TOz185ekGSyU/edit,?,v3.2.1,,,,,,,,,,WS+,,,,,,,,UWs,https://docs.google.com/spreadsheets/d/11zOUaRyKSrDTkgIHv5MJ_VmS869PqQksvb64-Z_Jk94/edit,?,v3.3.1,,,Cards,https://docs.google.com/spreadsheets/d/1eBwSz-QEwQPEnng5AO8SZyDO1ks4YwN8VhcdRPzOuCg/edit,?,Cards Presets,v3.2.1,19,,,"Themes, Songs & Relics",https://docs.google.com/spreadsheets/d/1--5EhNGZXpr4N6czLyY2vMHyEfMgVoWWg7eyoHQqwOA/edit,?,Vault,https://docs.google.com/spreadsheets/d/17MpFBbmlppwYX8PcY58EJ5p4etBNf65JqCZeYgSgRtQ/edit,?,Bots,https://docs.google.com/spreadsheets/d/1QOs6dBavGyYDEkA4rWSorLzArDt8Te_Mx725-7YXuvc/edit,?,v3.3.1,,,,,,,,,Modules,https://docs.google.com/spreadsheets/d/1A4jDDOKNsy0FkNSR1WxzhkLl06UFd7TlVEVxLdRJVyo/edit,?,eHP GComp Farm,GC GComp OC,Utility Disco eHP,Utility Disco GC,UW Disco GC,,,,,,,,,,,,Guardians,https://docs.google.com/spreadsheets/d/1j_kyn42jLrcU2PIMPdqV4kIbgdj4UuNDywD6Ab5Kc8o/edit,?,v3.1.2,,,,,,,,,,,Player & Stuff,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,v4.5.1,,,,,,,Perks Preset,https://docs.google.com/spreadsheets/d/1-VWYvbqn2EzjZFxytSkGKVVbCcwYbm8V-0N3IECVaWg/edit,?,,,Preset Preset,,,,,,
Black Hole Coin Bonus,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chain Lightning Damage,0,,,,,,,,,,,,,,,,,,,Thorns Damage,Ancestral,+10%,0.1,,Free Attack Upgrade,Rare,+4%,0.04,,Black Hole - Size,Common,+2.00m,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotlight Coin Bonus,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Smart Missile Damage,0,,,,,,,,,,,,,,,,,,,Orb Speed,Epic,+1,1,,Cash Bonus,Mythic,+1.2x,1.2,,Spotlight - Bonus,Common,+1.2x,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotlight Missiles,1,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Death Wave Damage,0,,,,,,,,,,,,,,,,,,,Land Mine Damage,Rare,+30%,0.3,,Coins / Kill Bonus,Rare,+0.2x,0.2,,Poison Swamp - Cooldown,Rare,-2s,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Hole Disable Ranged Enemies,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inner Land Mine Damage,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recharge Missile Barrage,0,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Golden Tower Bonus,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Rend,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swamp Damage,0,,,,,,,,,,,,,,Amplifying Strike,,,,,Orbital Augment,,,,,Restorative Bonus,,,,,Primordial Collapse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swamp Rend - Additional Enemies,0,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spotlight Bonus,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chain Thunder,12,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black Hole Size,0,,,,,,,,,,,,,,Ancestral 3*,204,18.965,,,Ancestral 5*,200,19.288,,,Ancestral 5*,201,2.296,,,Ancestral 4*,176,17.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Amplifier - Scatter,9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simple Section,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Wave Cells Bonus,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic Attack,0,,,,,,,,,,,,,,Super Crit Multi,Ancestral,+7x,7,,Wall Health,Ancestral,+120%,1.2,,Package Chance,Ancestral,+15%,0.15,,Black Hole - Duration,Ancestral,+4s,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Wave Damage Amplifier,2,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic Health,0,,,,,,,,,,,,,,Bounce Shot Chance,Ancestral,+12%,0.12,,Health Regen,Ancestral,+400%,4,,Free Defense Upgrade,Mythic,+10%,0.1,,Black Hole - Cooldown,Ancestral,-4s,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Death Wave Armor Stripping,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic Coin Bonus,0,,,,,,,,,,,,,,Multishot Targets,Ancestral,+4,4,,Defense %,Ancestral,+8%,0.08,,Free Utility Upgrade,Mythic,+10%,0.1,,Golden Tower - Bonus,Ancestral,+4x,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inner Land Mine - Chrono Jump,0,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Attack,0,,,,,,,,,,,,,,Critical Factor,Ancestral,+15x,15,,Thorns Damage,Ancestral,+10%,0.1,,Cash Bonus,Rare,+0.2x,0.2,,Spotlight - Angle,Ancestral,+15?,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Wind Blast,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Health,0,,,,,,,,,,,,,,Critical Chance,Ancestral,+10%,0.1,,Knockback Force,Legendary,+0.4,0.4,,Enemy Health Level Skip,Ancestral,+8%,0.08,,Inner Land Mines - Damage,Epic,+25x,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double Death Ray,10,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fast Speed,0,,,,,,,,,,,,,,Super Crit Chance,Ancestral,+10%,0.1,,Land Mine Radius,Rare,+0.10,0.1,,Coins / Kill Bonus,Common,+0.1x,0.1,,Death Wave - Quantity,Mythic,+2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Orb Adjuster,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank Attack,0,,,,,,,,,,,,,,Bounce Shot Targets,Mythic,+3,3,,Land Mine Damage,Rare,+30%,0.3,,Free Attack Upgrade,Common,+2%,0.02,,Chain Lightning - Damage,Common,+8x,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra Extra Orbs,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank Health,0,,,,,,,,,,,,,,Attack Speed,Common,+0.3,0.3,,,,,,,,,,,,Spotlight - Bonus,Common,+1.2x,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy Shield Extra Hit,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank Mass,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super Tower Bonus,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Advanced Enemies Section,false,,,,,,,,,,,,,,Gilded Sniper,,,,,Sentry Protocol,,,,,Placeholder v29,,,,,Tactical Barrage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recharge Second Wind,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boss Attack,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recharge Demon Mode,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boss Health,0,,,,,,,,,,,,,,None,0,1,,,Epic+,80,1.64,,,None,0,1,,,None,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recharge Nuke,6,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boss Common Drop Chance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlock Perks,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranged Attack,0,,,,,,,,,,,,,,,,,,,Health Regen,Common,+20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waves Required,13,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranged Health,0,,,,,,,,,,,,,,,,,,,Defense %,Common,+1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Pick Perks,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ranged Attack Range,0,,,,,,,,,,,,,,,,,,,Land Mine Damage,Rare,+30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Perks Bonus,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protector Attack,0,,,,,,,,,,,,,,,,,,,Land Mine Chance,Rare,+2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perk Option Quantity,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protector Health,0,,,,,,,,,,,,,,,,,,,Land Mine Radius,Rare,+0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Perk Choice,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Protector Radius,0,,,,,,,,,,,,,,,,,,,Shockwave Frequency,Epic,-1s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ban Perks,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elites Enemies Section,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improve Trade-off Perks,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampire Attack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Pick Ranking,13,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampire Health,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Bot - Cooldown,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vampire Attack Speed,0,,,,,,,,,,,,,,Any Other,,,,,Any Other,,,,,Any Other,,,,,Any Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Bot - Cooldown,0,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scatter Attack,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Bot - Cooldown,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scatter Health,0,,,,,,,,,,,,,,Epic,60,1.37,,,Epic,60,1.37,,,Epic,60,1.128,,,Epic,60,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amp Bot - Cooldown,19,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scatter Attack Speed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bot Bot - Cooldown,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ray Attack,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flame Bot - Burn Stack,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ray Health,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunder Bot - Linger Time,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ray Attack Speed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gold Bot - Duration,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fleets Enemies Section,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amp Bot - Duration,5,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saboteur Attack Speed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bot Bot - Duration,11,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saboteur Health,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saboteur Miss Chance,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commander Pulse Effect,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commander Health,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commander Pulse Speed,0,,,,,,,,,,,,,,Any Other 2,,,,,Any Other 2,,,,,Any Other 2,,,,,Any Other 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fast Enemy Speed,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overcharge Attack,0,,,,,,,,,,,,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,Rarity,Level,Stat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overcharge Health,0,,,,,,,,,,,,,,Common,20,1.05,,,Common,20,1.05,,,Common,20,1.03,,,Common,20,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Overcharge Attack Exponent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranged Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Discount Enhancements,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranged Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector Radius,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protector Damage Reduction,0,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vampire Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatter Enemy Attack,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scatter Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranged Enemy Range,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcharge Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcharge Enemy Damage,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saboteur Enemy Health,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overcharge Exponent Reducer,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commander Radius,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saboteur Attack Speed,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Drop Chance,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reroll Shards,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Mission Shards,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module Shards Cost,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Module Coin Cost,30,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rare Drop Chance,10,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unmerge Module,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shatter Shards,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannon Effect Bans,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armor Effect Bans,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generator Effect Bans,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core Effect Bans,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist Module Substats - Cannon,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist Module Substats - Armor,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist Module Substats - Generator,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assist Module Substats - Core,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mastery Unlock Cost,Planner Source
Assist Module Bonus - Cannon,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,_IDS helper
Assist Module Bonus - Armor,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,_IDS helper
Assist Module Bonus - Generator,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,_IDS helper
Assist Module Bonus - Core,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,_IDS helper
Damage Mastery,9,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,_IDS helper
Attack Speed Mastery,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,_IDS helper
Health Mastery,0,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,_IDS helper
